,endpoint_count,branch_point_count,connected_components,graph_nodes,graph_edges,skeleton_length_pixels,branch_density,endpoint_density,average_width_pixels,maximum_width_pixels,crack_coverage_percent,crack_area_pixels,dominant_orientation_degrees
endpoint_count,1.0,0.8822280904501412,0.567704593493835,0.7032222240029583,0.71309264403155,0.720044008117343,0.7020782277624347,0.5358054933800224,-0.06455234672973617,0.07249281332607098,0.3107034877856377,0.3140639211062882,0.0276187158805489
branch_point_count,0.8822280904501412,1.0,0.31163277591855654,0.7404629166746018,0.7562316205039616,0.7652777658284544,0.791842950818996,0.32476362767481715,0.030364998043879723,0.15654554173592916,0.39034049261576537,0.394045979480716,0.033293542560256295
connected_components,0.567704593493835,0.31163277591855654,1.0,0.31278228590709356,0.3125693565049214,0.31497387754660916,0.2133363580562131,0.4275530172813262,-0.20356931785701066,-0.11516323843007568,-0.008092662300524632,-0.00964327566732895,0.028100679298713623
graph_nodes,0.7032222240029583,0.7404629166746018,0.31278228590709356,1.0,0.9995990609808018,0.9980933276993612,0.3713779692738905,-0.060688835516995554,0.17795973924484046,0.32699179777086357,0.7161581813150194,0.7193539430347144,0.02278999741390109
graph_edges,0.71309264403155,0.7562316205039616,0.3125693565049214,0.9995990609808018,1.0,0.9988923921362755,0.38875877126428093,-0.051289472435138574,0.1747514026407876,0.32399840498082505,0.7111925592484608,0.7143876479441819,0.022705114015406685
skeleton_length_pixels,0.720044008117343,0.7652777658284544,0.31497387754660916,0.9980933276993612,0.9988923921362755,1.0,0.39862229453099013,-0.04293440421407178,0.17094307991653793,0.31938770896735413,0.7102720886355793,0.7133031939079113,0.02067554131697165
branch_density,0.7020782277624347,0.791842950818996,0.2133363580562131,0.3713779692738905,0.38875877126428093,0.39862229453099013,1.0,0.5717752125975781,-0.08552725559020376,-0.0010315378253509307,0.10305614885911511,0.10715922109691474,0.03127281808908486
endpoint_density,0.5358054933800224,0.32476362767481715,0.4275530172813262,-0.060688835516995554,-0.051289472435138574,-0.04293440421407178,0.5717752125975781,1.0,-0.2653489730675479,-0.23331482841483336,-0.2424993670633362,-0.24139354250878448,0.02424462668108735
average_width_pixels,-0.06455234672973617,0.030364998043879723,-0.20356931785701066,0.17795973924484046,0.1747514026407876,0.17094307991653793,-0.08552725559020376,-0.2653489730675479,1.0,0.9405401202177862,0.691853589665578,0.6903133037896125,0.023499101196796733
maximum_width_pixels,0.07249281332607098,0.15654554173592916,-0.11516323843007568,0.32699179777086357,0.32399840498082505,0.31938770896735413,-0.0010315378253509307,-0.23331482841483336,0.9405401202177862,1.0,0.7278188922548128,0.7265440541304652,0.020224752419543687
crack_coverage_percent,0.3107034877856377,0.39034049261576537,-0.008092662300524632,0.7161581813150194,0.7111925592484608,0.7102720886355793,0.10305614885911511,-0.2424993670633362,0.691853589665578,0.7278188922548128,1.0,0.9991319708527634,0.020889617277619323
crack_area_pixels,0.3140639211062882,0.394045979480716,-0.00964327566732895,0.7193539430347144,0.7143876479441819,0.7133031939079113,0.10715922109691474,-0.24139354250878448,0.6903133037896125,0.7265440541304652,0.9991319708527634,1.0,0.02326915962363664
dominant_orientation_degrees,0.0276187158805489,0.033293542560256295,0.028100679298713623,0.02278999741390109,0.022705114015406685,0.02067554131697165,0.03127281808908486,0.02424462668108735,0.023499101196796733,0.020224752419543687,0.020889617277619323,0.02326915962363664,1.0
