,count,mean,std,min,25%,median,50%,75%,max,variance,coefficient_of_variation
endpoint_count,1896.0,7.589662447257384,6.551632050452806,0.0,3.0,6.0,6.0,10.0,49.0,42.923882524520444,0.8632310192952412
branch_point_count,1896.0,5.794831223628692,6.516599034727783,0.0,1.0,4.0,4.0,8.0,52.0,42.46606297941507,1.1245537243873556
connected_components,1896.0,2.2415611814345993,1.870668608887198,1.0,1.0,2.0,2.0,3.0,18.0,3.499401044275965,0.8345382782235593
graph_nodes,1896.0,624.4472573839662,337.8377205833275,49.0,373.0,610.5,610.5,814.0,2366.0,114134.32544893847,0.5410188235891227
graph_edges,1896.0,631.414029535865,345.48120086533396,48.0,374.0,614.5,614.5,824.0,2404.0,119357.26015135321,0.5471547743709269
skeleton_length_pixels,1896.0,719.6956592827004,398.48022442900464,55.46,424.4,692.405,692.405,935.9975000000001,2804.13,158786.4892609899,0.5536787936530814
branch_density,1896.0,0.006875129219409282,0.0053340458253748205,0.0,0.002824,0.006078500000000001,0.006078500000000001,0.0098455,0.032754,2.8452044867198547e-05,0.7758466284991697
endpoint_density,1896.0,0.01071009229957806,0.0069207766798741605,0.0,0.00601125,0.009388500000000001,0.009388500000000001,0.013648750000000001,0.062169,4.789714985269e-05,0.6461920669112081
average_width_pixels,1896.0,15.746877637130803,8.817058703281036,3.0,9.4875,13.945,13.945,19.625,82.07,77.74052417710388,0.5599242533320129
maximum_width_pixels,1896.0,51.33058544303797,28.59283812619694,7.19,30.8,46.0,46.0,65.2625,220.27,817.5503921109015,0.5570331582897429
crack_coverage_percent,1896.0,6.367936339662447,5.191323805566432,0.3549,2.4129500000000004,4.974399999999999,4.974399999999999,8.969425,41.9484,26.949842854240742,0.8152285966228134
crack_area_pixels,1896.0,14749.533755274262,11934.593849628407,1015.0,5567.0,11615.5,11615.5,20696.75,96649.0,142434530.3555882,0.8091505838522343
dominant_orientation_degrees,1896.0,89.1829799578059,67.95597031270727,0.0,16.085,89.065,89.065,165.225,179.98,4618.013901141551,0.7619836245083813
