image,endpoint_count,branch_point_count,connected_components,graph_nodes,graph_edges,skeleton_length_pixels,branch_density,endpoint_density,average_width_pixels,maximum_width_pixels,crack_coverage_percent,crack_area_pixels,dominant_orientation_degrees
20160222_081011_1281_721,10,8,1,741,752,858.45,0.009319,0.011649,9.69,34.0,5.5573,12804,3.35
20160222_081011_1921_721,2,1,1,209,209,226.4,0.004417,0.008834,8.43,22.0,1.3199,3041,178.66
20160222_081011_1_361,3,2,2,430,430,502.9,0.003977,0.005965,6.39,18.39,2.0226,4660,165.5
20160222_081011_1_721,9,8,3,805,812,914.31,0.00875,0.009843,5.63,22.0,2.9219,6732,6.76
20160222_081011_641_361,3,2,1,326,327,376.29,0.005315,0.007973,4.99,15.18,1.2205,2812,10.33
20160222_081011_641_721,7,4,3,503,507,578.66,0.006913,0.012097,7.88,28.0,2.7196,6266,177.3
20160222_081031_1281_361,6,4,1,719,722,792.83,0.005045,0.007568,18.07,46.74,10.23,23570,0.73
20160222_081031_1921_361,4,3,1,684,684,753.17,0.003983,0.005311,38.65,135.54,12.9106,29746,5.16
20160222_081031_1921_721,1,0,1,374,373,390.4,0.0,0.002561,16.25,51.94,2.2873,5270,0.57
20160222_081031_1_721,1,2,1,728,730,856.34,0.002336,0.001168,20.23,59.18,11.533,26572,153.29
20160222_081031_641_361,7,5,1,693,695,774.11,0.006459,0.009043,25.2,107.91,11.7899,27164,175.04
20160222_081031_641_721,2,0,1,161,160,178.23,0.0,0.011222,36.52,97.09,3.0326,6987,166.53
20160222_081102_1281_361,8,4,3,922,923,1031.11,0.003879,0.007759,6.09,26.0,3.6293,8362,175.83
20160222_081102_1281_721,2,2,1,669,670,742.9,0.002692,0.002692,6.27,20.0,2.941,6776,7.45
20160222_081102_1921_1,2,0,4,199,195,229.79,0.0,0.008703,3.55,8.79,0.4618,1064,111.84
20160222_081102_1921_1081,5,3,2,594,596,702.04,0.004273,0.007122,5.45,20.38,1.9149,4412,30.31
20160222_081102_1921_361,8,3,3,530,529,596.52,0.005029,0.013411,7.05,28.0,2.3668,5453,27.32
20160222_081102_1921_721,3,2,1,667,668,721.43,0.002772,0.004158,7.16,18.78,3.4939,8050,3.17
20160222_081102_1_721,4,2,1,196,198,225.34,0.008876,0.017751,7.02,21.18,0.921,2122,176.76
20160222_081102_641_361,5,0,3,236,233,266.14,0.0,0.018787,4.33,12.0,0.7092,1634,173.39
20160222_081102_641_721,2,2,1,705,707,817.6,0.002446,0.002446,6.28,18.78,3.3698,7764,5.54
20160222_081111_1281_361,5,3,1,481,482,540.82,0.005547,0.009245,7.86,42.0,2.4692,5689,13.92
20160222_081111_1281_721,3,1,1,237,236,265.82,0.003762,0.011286,6.68,22.0,1.1081,2553,12.35
20160222_081111_1921_721,3,1,1,666,665,763.58,0.00131,0.003929,5.96,18.0,2.951,6799,2.13
20160222_081111_1_1,3,1,1,223,222,242.3,0.004127,0.012382,4.72,13.18,0.7114,1639,85.76
20160222_081111_1_361,6,3,2,866,867,1006.18,0.002982,0.005963,4.12,14.0,2.4444,5632,10.35
20160222_081111_641_361,3,3,1,687,689,768.53,0.003904,0.003904,4.9,14.0,2.4036,5538,178.3
20160222_081113_1281_361,2,1,2,251,250,260.36,0.003841,0.007682,6.3,17.58,0.5603,1291,179.07
20160222_081113_1281_721,6,5,2,669,674,742.35,0.006735,0.008082,7.66,26.36,3.076,7087,6.39
20160222_081113_1921_721,3,1,1,664,665,762.34,0.001312,0.003935,8.73,34.39,4.4006,10139,21.21
20160222_081113_1_1,1,0,1,182,181,190.53,0.0,0.005249,5.52,18.0,0.4709,1085,89.93
20160222_081113_1_361,15,5,7,475,476,561.33,0.008907,0.026722,4.56,14.39,1.457,3357,7.32
20160222_081113_1_721,19,9,5,765,769,906.52,0.009928,0.020959,4.94,14.0,2.7461,6327,8.24
20160222_081113_641_361,7,4,5,597,596,700.38,0.005711,0.009995,5.16,20.38,2.0625,4752,17.86
20160222_081113_641_721,4,2,2,346,346,399.02,0.005012,0.010025,5.57,16.0,1.3572,3127,171.8
20160222_081908_1281_1,4,1,2,244,243,258.33,0.003871,0.015484,4.9,10.39,0.8346,1923,99.3
20160222_081908_1281_1081,8,1,4,240,238,260.37,0.003841,0.030726,4.64,10.79,0.7878,1815,95.88
20160222_081908_1281_361,6,0,3,164,161,179.23,0.0,0.033477,4.32,10.39,0.5022,1157,104.71
20160222_081908_1281_721,15,14,1,813,834,931.75,0.015025,0.016099,6.18,19.58,3.4145,7867,0.27
20160222_081908_1_1,6,0,3,258,255,274.05,0.0,0.021894,3.0,7.19,0.4405,1015,90.85
20160222_081908_1_1081,6,0,3,285,282,322.18,0.0,0.018623,3.56,10.39,0.6918,1594,108.98
20160222_081908_1_361,7,1,3,270,268,283.74,0.003524,0.02467,3.23,8.0,0.5226,1204,83.93
20160222_081908_1_721,9,1,6,311,311,340.41,0.002938,0.026439,3.42,9.99,0.6354,1464,89.65
20160222_081908_641_361,6,3,6,223,219,241.78,0.012408,0.024816,4.7,11.59,0.5681,1309,179.69
20160222_081908_641_721,7,6,3,1153,1157,1331.8,0.004505,0.005256,4.56,15.18,3.3407,7697,10.65
20160222_082414_1281_1081,3,4,1,605,612,729.22,0.005485,0.004114,10.52,32.79,4.9102,11313,55.31
20160222_082414_1281_361,4,1,2,245,245,280.62,0.003564,0.014254,5.31,17.19,0.8494,1957,141.19
20160222_082414_1281_721,3,2,1,477,477,588.42,0.003399,0.005098,9.36,25.2,3.8711,8919,45.94
20160222_082414_1_361,14,9,3,782,797,913.39,0.009853,0.015327,5.87,28.0,2.4453,5634,14.32
20160222_082414_641_361,11,9,2,880,891,1006.98,0.008938,0.010924,8.19,26.36,4.9431,11389,6.28
20160222_114806_1281_1,13,11,2,881,899,1039.83,0.010579,0.012502,4.59,16.0,2.7743,6392,72.66
20160222_114806_1281_1081,13,6,4,1122,1128,1271.73,0.004718,0.010222,4.14,14.39,2.8082,6470,9.11
20160222_114806_1281_361,9,6,3,995,1001,1111.18,0.0054,0.008099,5.07,15.98,3.3472,7712,17.85
20160222_114806_1281_721,8,6,2,891,896,1009.91,0.005941,0.007922,5.08,17.18,2.6428,6089,8.67
20160222_115219_1281_361,2,2,1,363,370,458.23,0.004365,0.004365,5.46,17.18,1.5642,3604,42.57
20160222_115219_1281_721,10,3,4,469,470,554.5,0.00541,0.018034,5.26,17.18,1.799,4145,35.98
20160222_115219_1921_1081,2,0,1,217,216,245.41,0.0,0.00815,4.2,9.99,0.6319,1456,8.23
20160222_115219_641_1,4,2,1,468,469,547.29,0.003654,0.007309,7.02,24.79,2.6623,6134,54.73
20160222_115219_641_361,3,1,2,169,169,199.24,0.005019,0.015057,6.37,16.8,0.7682,1770,26.86
20160222_115233_1281_361,3,1,1,442,442,499.99,0.002,0.006,6.7,21.58,2.2908,5278,10.46
20160222_115233_1281_721,1,1,1,239,239,284.98,0.003509,0.003509,5.42,14.0,0.9635,2220,21.29
20160222_115233_1921_721,2,0,1,640,639,713.14,0.0,0.002804,8.44,22.0,4.4614,10279,179.69
20160222_115233_1_361,13,5,7,773,774,907.38,0.00551,0.014327,4.7,14.0,2.4622,5673,24.3
20160222_115233_1_721,4,1,3,214,212,250.11,0.003998,0.015993,4.92,14.0,0.7869,1813,173.55
20160222_115233_641_361,11,5,3,716,723,808.74,0.006182,0.013601,6.92,24.39,3.2847,7568,172.52
