image,endpoint_count,branch_point_count,connected_components,graph_nodes,graph_edges,skeleton_length_pixels,branch_density,endpoint_density,average_width_pixels,maximum_width_pixels,crack_coverage_percent,crack_area_pixels,dominant_orientation_degrees,normalized_coverage,normalized_skeleton_length,normalized_max_width,normalized_branch_density,CSI,severity
20160222_081011_1281_721,10,8,1,741,752,858.45,0.009319,0.011649,9.69,34.0,5.5573,12804,3.35,0.3004409097819902,0.5343528756280082,0.2,0.5570316352605388,39.8,Moderate
20160222_081011_1921_721,2,1,1,209,209,226.4,0.004417,0.008834,8.43,22.0,1.3199,3041,178.66,0.034772781775520026,0.04862294546537432,0.06666666666666667,0.26402068171969095,10.35,Low
20160222_081011_1_361,3,2,2,430,430,502.9,0.003977,0.005965,6.39,18.39,2.0226,4660,165.5,0.07882927716187643,0.2611129789911527,0.02655555555555556,0.2377202289334867,15.11,Low
20160222_081011_1_721,9,8,3,805,812,914.31,0.00875,0.009843,5.63,22.0,2.9219,6732,6.76,0.13521181067681923,0.577281241894735,0.06666666666666667,0.5230203679074702,32.55,Moderate
20160222_081011_641_361,3,2,1,326,327,376.29,0.005315,0.007973,4.99,15.18,1.2205,2812,10.33,0.028540797085888844,0.1638132931152077,0.0,0.31769751490608045,12.75,Low
20160222_081011_641_721,7,4,3,503,507,578.66,0.006913,0.012097,7.88,28.0,2.7196,6266,177.3,0.12252840521693606,0.3193344796779989,0.13333333333333333,0.41321597752506756,24.71,Low
20160222_081031_1281_361,6,4,1,719,722,792.83,0.005045,0.007568,18.07,46.74,10.23,23570,0.73,0.5934006166153866,0.48392395700246893,0.34155555555555556,0.30155860069636425,43.01,Moderate
20160222_081031_1921_361,4,3,1,684,684,753.17,0.003983,0.005311,38.65,135.54,12.9106,29746,5.16,0.7614635759617177,0.453445278052623,1.0,0.23807887147148046,61.32,High
20160222_081031_1921_721,1,0,1,374,373,390.4,0.0,0.002561,16.25,51.94,2.2873,5270,0.57,0.09542491445911357,0.17465681706836764,0.3993333333333333,0.0,16.74,Low
20160222_081031_1_721,1,2,1,728,730,856.34,0.002336,0.001168,20.23,59.18,11.533,26572,153.29,0.6750935346293645,0.5327313422799452,0.47977777777777775,0.13963149479221146,45.68,Moderate
20160222_081031_641_361,7,5,1,693,695,774.11,0.006459,0.009043,25.2,107.91,11.7899,27164,175.04,0.6912001429469324,0.46953765165851746,1.0,0.38607869215021146,63.67,High
20160222_081031_641_721,2,0,1,161,160,178.23,0.0,0.011222,36.52,97.09,3.0326,6987,166.53,0.14215226042674048,0.01160433817808048,0.901,0.0,26.37,Low
20160222_081102_1281_361,8,4,3,922,923,1031.11,0.003879,0.007759,6.09,26.0,3.6293,8362,175.83,0.1795629773714379,0.667041950451013,0.1111111111111111,0.23186240081292306,29.74,Moderate
20160222_081102_1281_721,2,2,1,669,670,742.9,0.002692,0.002692,6.27,20.0,2.941,6776,7.45,0.13640930471677853,0.44555279109309415,0.044444444444444446,0.16091095204650396,19.68,Low
20160222_081102_1921_1,2,0,4,199,195,229.79,0.0,0.008703,3.55,8.79,0.4618,1064,111.84,0.0,0.051228157811314234,0.0,0.0,1.28,Low
20160222_081102_1921_1081,5,3,2,594,596,702.04,0.004273,0.007122,5.45,20.38,1.9149,4412,30.31,0.07207691548105874,0.41415191308273863,0.04866666666666666,0.25541326080784227,19.76,Low
