image,Rank_A_equal,Rank_B_extent,Rank_C_width,Rank_D_extent_width
20160222_081011_1281_721,1056.0,1033.0,1005.0,977.0
20160222_081011_1921_721,156.0,144.0,136.0,143.0
20160222_081011_1_361,264.0,262.0,241.0,232.0
20160222_081011_1_721,814.0,772.0,750.0,692.0
20160222_081011_641_361,204.0,187.0,176.0,171.0
20160222_081011_641_721,548.0,529.0,513.0,496.0
20160222_081031_1281_361,1148.0,1216.0,1180.0,1208.0
20160222_081031_1921_361,1609.0,1636.0,1660.0,1681.0
20160222_081031_1921_721,317.0,347.0,375.0,385.0
20160222_081031_1_721,1228.0,1318.0,1288.0,1324.0
20160222_081031_641_361,1644.0,1654.0,1677.0,1696.0
20160222_081031_641_721,580.0,635.0,772.0,815.0
20160222_081102_1281_361,706.0,729.0,704.0,640.0
20160222_081102_1281_721,381.0,419.0,388.0,356.0
20160222_081102_1921_1,15.0,15.0,14.0,11.0
20160222_081102_1921_1081,385.0,393.0,374.0,338.0
20160222_081102_1921_361,455.0,448.0,442.0,425.0
20160222_081102_1921_721,395.0,428.0,393.0,371.0
20160222_081102_1_721,293.0,239.0,232.0,240.0
20160222_081102_641_361,23.0,23.0,22.0,20.0
20160222_081102_641_721,424.0,466.0,431.0,400.0
20160222_081111_1281_361,567.0,562.0,580.0,561.0
20160222_081111_1281_721,145.0,133.0,131.0,135.0
20160222_081111_1921_721,338.0,361.0,328.0,296.0
20160222_081111_1_1,102.0,88.0,76.0,80.0
20160222_081111_1_361,506.0,521.0,484.0,424.0
20160222_081111_641_361,399.0,411.0,378.0,341.0
20160222_081113_1281_361,117.0,99.0,96.0,93.0
20160222_081113_1281_721,630.0,622.0,608.0,583.0
20160222_081113_1921_721,534.0,586.0,561.0,535.0
20160222_081113_1_1,13.0,13.0,11.0,12.0
20160222_081113_1_361,466.0,420.0,397.0,372.0
20160222_081113_1_721,800.0,747.0,709.0,646.0
20160222_081113_641_361,467.0,454.0,435.0,405.0
20160222_081113_641_721,212.0,194.0,186.0,181.0
20160222_081908_1281_1,104.0,94.0,82.0,83.0
20160222_081908_1281_1081,100.0,90.0,78.0,79.0
20160222_081908_1281_361,4.0,4.0,4.0,4.0
20160222_081908_1281_721,1127.0,1038.0,1009.0,948.0
20160222_081908_1_1,27.0,27.0,26.0,22.0
20160222_081908_1_1081,39.0,39.0,34.0,32.0
20160222_081908_1_361,95.0,92.0,81.0,72.0
20160222_081908_1_721,106.0,101.0,93.0,84.0
20160222_081908_641_361,400.0,324.0,307.0,308.0
20160222_081908_641_721,831.0,846.0,810.0,697.0
20160222_082414_1281_1081,718.0,749.0,721.0,714.0
20160222_082414_1281_361,116.0,106.0,98.0,94.0
20160222_082414_1281_721,413.0,446.0,419.0,417.0
20160222_082414_1_361,908.0,847.0,835.0,785.0
20160222_082414_641_361,1024.0,1007.0,964.0,923.0
20160222_114806_1281_1,930.0,869.0,829.0,765.0
20160222_114806_1281_1081,775.0,779.0,743.0,631.0
20160222_114806_1281_361,722.0,732.0,685.0,616.0
20160222_114806_1281_721,659.0,641.0,616.0,547.0
20160222_115219_1281_361,232.0,219.0,203.0,196.0
20160222_115219_1281_721,339.0,323.0,299.0,276.0
20160222_115219_1921_1081,19.0,19.0,18.0,17.0
20160222_115219_641_1,351.0,360.0,339.0,332.0
20160222_115219_641_361,122.0,103.0,95.0,100.0
20160222_115233_1281_361,226.0,237.0,221.0,211.0
20160222_115233_1281_721,109.0,100.0,92.0,88.0
20160222_115233_1921_721,348.0,403.0,360.0,351.0
20160222_115233_1_361,559.0,552.0,519.0,466.0
20160222_115233_1_721,101.0,89.0,77.0,81.0
20160222_115233_641_361,641.0,633.0,615.0,586.0
20160222_115324_1281_1,43.0,43.0,39.0,37.0
20160222_115324_1281_361,494.0,458.0,438.0,411.0
20160222_115324_1281_721,1153.0,1046.0,1098.0,1115.0
20160222_115324_1_1,389.0,400.0,372.0,328.0
20160222_115324_641_1081,883.0,874.0,868.0,891.0
20160222_115324_641_361,452.0,460.0,437.0,412.0
20160222_115324_641_721,605.0,578.0,579.0,557.0
20160222_115519_641_1,325.0,315.0,305.0,298.0
20160222_115519_641_1081,513.0,494.0,485.0,483.0
20160222_115519_641_361,318.0,307.0,296.0,288.0
20160222_115519_641_721,397.0,365.0,345.0,327.0
20160222_115620_1281_1,147.0,136.0,138.0,136.0
20160222_115620_641_1081,464.0,426.0,409.0,404.0
20160222_115620_641_721,189.0,198.0,193.0,173.0
20160222_115714_1281_1081,235.0,228.0,208.0,197.0
20160222_115714_1281_721,77.0,75.0,67.0,57.0
20160222_115714_641_1,98.0,97.0,84.0,76.0
20160222_115714_641_361,372.0,346.0,320.0,305.0
20160222_115738_1281_1,7.0,7.0,6.0,6.0
20160222_115738_1281_1081,191.0,200.0,189.0,168.0
20160222_115738_1281_361,113.0,108.0,100.0,89.0
20160222_115738_1281_721,166.0,163.0,160.0,155.0
20160222_115738_641_1081,74.0,73.0,66.0,53.0
20160222_115805_641_1,362.0,339.0,317.0,309.0
20160222_115805_641_1081,129.0,138.0,129.0,108.0
20160222_115805_641_361,148.0,153.0,137.0,128.0
20160222_115805_641_721,139.0,132.0,123.0,118.0
20160222_115828_641_1,213.0,197.0,187.0,183.0
20160222_115828_641_1081,138.0,154.0,153.0,148.0
20160222_115828_641_361,244.0,238.0,218.0,207.0
20160222_115828_641_721,370.0,354.0,340.0,331.0
20160222_115833_1281_1081,155.0,152.0,150.0,144.0
20160222_115833_1281_361,377.0,314.0,303.0,310.0
20160222_115833_1281_721,522.0,495.0,475.0,443.0
