image,CSI_A_equal,CSI_B_extent,CSI_C_width,CSI_D_extent_width
20160222_081011_1281_721,39.795635516763426,38.51268188937068,38.01047734046074,36.84091751123064
20160222_081011_1921_721,10.352076890681294,9.20583739096044,9.365306815416174,9.296055996966903
20160222_081011_1_361,15.105451016051783,14.31099625719373,14.049627649162128,13.138209140015746
20160222_081011_1_721,32.554502178642274,30.61545939248902,30.272733672438257,28.06238651634868
20160222_081011_641_361,12.751290127679422,11.305506538578463,11.162802553149021,10.486440073002425
20160222_081011_641_721,24.71030489383339,23.256867032292735,23.31089167287472,22.326861300569405
20160222_081031_1281_361,43.010968246744376,44.470178326339486,43.21095302104033,43.75833631910492
20160222_081031_1921_361,61.32469313714552,63.94161665959671,65.13429877978812,66.6743902693336
20160222_081031_1921_721,16.73537662152036,17.21250119381593,18.73204328818703,18.335883775140758
20160222_081031_1_721,45.68085373698247,48.35816393616824,47.3815851519103,48.0933961136574
20160222_081031_641_361,63.67041216889153,65.19601942287514,66.74001870814047,67.84833116458256
20160222_081031_641_721,26.36891496512052,27.07967626725422,30.87391496512052,31.526654576363818
20160222_081102_1281_361,29.739460993662124,29.477963876454698,29.13570454515306,26.698309679755194
20160222_081102_1281_721,19.682937307520522,19.560429070871894,19.100604769510223,17.554887337628646
20160222_081102_1921_1,1.280703945282855,1.280703945282855,1.280703945282855,1.024563156226284
20160222_081102_1921_1081,19.757718900957652,18.841037174323738,18.723985930251775,17.013610942243375
20160222_081102_1921_361,21.68511694784976,20.684152086326314,20.848772511541192,19.685519374516723
20160222_081102_1921_721,19.917719754917016,19.9446251714144,19.24369993659603,17.953804051348143
20160222_081102_1_721,16.141977281080024,13.53803466598859,13.776995752831114,13.58677076229008
20160222_081102_641_361,1.979077608814685,1.979077608814685,1.979077608814685,1.583262087051748
20160222_081102_641_721,21.08371347203638,21.169147229062464,20.507124876537013,18.808793260457794
20160222_081111_1281_361,25.43844264041027,24.31476411377988,25.225061952978862,24.307936211708025
20160222_081111_1281_721,9.798662167215992,8.781786631089808,9.007651143939096,8.720534041407548
20160222_081111_1921_721,17.47518657167951,17.76884979243868,17.194779578814174,15.57273412903707
20160222_081111_1_1,7.688209385011422,6.454777923094779,6.454777923094779,6.150567508009138
20160222_081111_1_361,23.285076650740656,22.920222242215505,22.393849943826325,19.680805917370886
20160222_081111_641_361,20.03306581716014,19.379864403244127,18.866282093553988,17.05361727310839
20160222_081113_1281_361,8.04669331264127,6.898738322279789,6.986516100057566,6.6129102056685705
20160222_081113_1281_721,27.69226860897912,26.403753703621703,26.25494292004507,24.753658676558793
20160222_081113_1921_721,24.279233436315025,25.026719694465065,24.908784261441923,23.745924281764978
